img_feature_pred_1,img_feature_pred_2,img_feature_pred_3,Sentiment_Score,hour,num_words,thumbnail_height,web_site,envelope,library,comic_book,menu,jigsaw_puzzle,scoreboard,monitor,screen,digital_clock,mountain_bike,book_jacket,dank_or_not
0.17891474,0.08920873,0.07369389,0.5,23,7,131.0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.05935011,0.047493964,0.034131162,0.49,18,0,95.0,1,0,0,0,0,0,1,0,0,1,0,0,0
0.9956254,0.0019927514,0.00023474719,0.49,18,4,140.0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.3124618,0.22912729,0.22060187,0.5,9,6,104.0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.16863862,0.09040854,0.04811405,0.58,14,5,70.0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.9994443,9.648296e-05,6.488287e-05,0.48,2,9,140.0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.96290183,0.011257892,0.0060972027,0.29,6,4,140.0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.05935011,0.047493964,0.034131162,0.49,6,0,122.0,1,0,0,0,0,0,1,0,0,1,0,0,0
0.05935011,0.047493964,0.034131162,0.39,6,3,140.0,1,0,0,0,0,0,1,0,0,1,0,0,0
0.6824718,0.08535548,0.04685604,0.38,12,12,140.0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.15514122,0.10797245,0.080888115,0.53,23,7,138.0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.5684878,0.02609701,0.01778256,0.45,18,6,120.0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.99697423,0.001530777,0.00014369385,0.2,11,6,140.0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.05935011,0.047493964,0.034131162,0.61,17,3,78.0,1,0,0,0,0,0,1,0,0,1,0,0,0
0.05935011,0.047493964,0.034131162,0.43,17,1,109.0,1,0,0,0,0,0,1,0,0,1,0,0,0
0.9451368,0.009176861,0.0064370353,0.58,5,5,140.0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.05935011,0.047493964,0.034131162,0.5,6,0,63.0,1,0,0,0,0,0,1,0,0,1,0,0,0
0.18999533,0.15233889,0.108750075,0.2,18,5,114.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.59275323,0.101861544,0.0713349,0.09,23,5,114.0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.62731755,0.05954309,0.05413705,0.55,22,3,140.0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.10781929,0.054634474,0.05406688,0.49,1,0,140.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.20270407,0.14938766,0.0748466,0.48,5,5,109.0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.05935011,0.047493964,0.034131162,0.45,0,1,140.0,1,0,0,0,0,0,1,0,0,1,0,0,0
0.05935011,0.047493964,0.034131162,0.49,20,0,140.0,1,0,0,0,0,0,1,0,0,1,0,0,0
0.70166767,0.056802705,0.017575115,0.5,4,5,110.0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.05935011,0.047493964,0.034131162,0.49,20,2,54.0,1,0,0,0,0,0,1,0,0,1,0,0,0
0.05935011,0.047493964,0.034131162,0.38,10,1,137.0,1,0,0,0,0,0,1,0,0,1,0,0,1
0.05935011,0.047493964,0.034131162,0.44,5,3,140.0,1,0,0,0,0,0,1,0,0,1,0,0,0
0.05935011,0.047493964,0.034131162,0.43,9,2,140.0,1,0,0,0,0,0,1,0,0,1,0,0,0
0.3919246,0.049811084,0.031100206,0.42,6,10,140.0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.05935011,0.047493964,0.034131162,0.51,23,1,120.0,1,0,0,0,0,0,1,0,0,1,0,0,0
0.35529727,0.19229998,0.14467883,0.45,20,3,110.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.38379833,0.14488217,0.11987934,0.3,21,2,93.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5873596,0.23333359,0.056709632,0.45,5,3,140.0,1,1,0,0,1,0,0,0,0,0,0,0,0
0.10142984,0.06401104,0.056176603,0.49,15,3,43.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.18719845,0.14759551,0.11755226,0.5,14,3,138.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.28913432,0.09847071,0.089128844,0.51,6,2,94.0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.409309,0.15000908,0.039674655,0.43,8,5,140.0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.18178818,0.13717473,0.067610264,0.32,16,5,117.0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.05935011,0.047493964,0.034131162,0.57,2,2,140.0,1,0,0,0,0,0,1,0,0,1,0,0,0
0.99950254,0.00039652555,3.9995022e-05,0.23,12,33,140.0,1,0,0,1,0,0,0,0,0,0,0,1,0
0.27302533,0.053279355,0.047468014,0.46,8,5,131.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8706544,0.028985774,0.018763497,0.61,12,4,112.0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.62617886,0.24506576,0.030085288,0.49,14,4,140.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.29191613,0.03674407,0.03427276,0.19,14,2,104.0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.99839133,0.00076084497,0.0001743999,0.42,7,7,140.0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.12330518,0.12312598,0.08669706,0.41,19,2,78.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.24155572,0.16690846,0.16491643,0.43,7,7,107.0,1,0,0,0,0,0,0,0,0,0,0,0,0
